PubDate,StDate,EnDate,Section,PropSell,PropBuy,PropTot,PropBal,BrkSell,BrkBuy,BrkTot,BrkBal,TotSell,TotBuy,TotTot,TotBal,IndSell,IndBuy,IndTot,IndBal,FrgnSell,FrgnBuy,FrgnTot,FrgnBal,SecCoSell,SecCoBuy,SecCoTot,SecCoBal,InvTrSell,InvTrBuy,InvTrTot,InvTrBal,BusCoSell,BusCoBuy,BusCoTot,BusCoBal,OthCoSell,OthCoBuy,OthCoTot,OthCoBal,InsCoSell,InsCoBuy,InsCoTot,InsCoBal,BankSell,BankBuy,BankTot,BankBal,TrstBnkSell,TrstBnkBuy,TrstBnkTot,TrstBnkBal,OthFinSell,OthFinBuy,OthFinTot,OthFinBal
2023-08-03,2023-07-24,2023-07-28,TSEPrime,2257843757,2377970283,4635814040,120126526,17867275198,17773118785,35640393983,-94156413,20125118955,20151089068,40276208023,25970113,4140466787,4001324860,8141791647,-139141927,12383131735,12466492807,24849624542,83361072,100113826,87085365,187199191,-13028461,430830755,455523147,886353902,24692392,176915620,208190471,385106091,31274851,53618934,74241828,127860762,20622894,17782949,44754013,62536962,26971064,46297583,11060420,57358003,-35237163,484574991,392735097,877310088,-91839894,33542018,31710777,65252795,-1831241
2023-08-10,2023-07-31,2023-08-04,TSEPrime,2410570137,2154094501,4564664638,-256475636,21254579347,21509668629,42764247976,255089282,23665149484,23663763130,47328912614,-1386354,5094867443,5349788115,10444655558,254920672,14776370517,14800117670,29576488187,23747153,116692600,116362596,233055196,-330004,367132936,464445678,831578614,97312742,218669932,380228098,598898030,161558166,81331534,46119257,127450791,-35212277,47074652,22180970,69255622,-24893682,58351760,18163143,76514903,-40188617,476779175,297091540,773870715,-179687635,17308798,15171562,32480360,-2137236
2023-08-17,2023-08-07,2023-08-10,TSEPrime,1495768582,1783646608,3279415190,287878026,15006337805,14724550845,29730888650,-281786960,16502106387,16508197453,33010303840,6091066,3634300954,3394571551,7028872505,-239729403,10297187457,10472858286,20770045743,175670829,89659274,82536408,172195682,-7122866,297448254,222525001,519973255,-74923253,143036542,285296025,428332567,142259483,54098118,53256316,107354434,-841802,24822017,11731788,36553805,-13090229,29192869,34199956,63392825,5007087,424876521,154920984,579797505,-269955537,11715799,12654530,24370329,938731
2023-08-24,2023-08-14,2023-08-18,TSEPrime,1356138092,1522058633,2878196725,165920541,16268547429,16099136425,32367683854,-169411004,17624685521,17621195058,35245880579,-3490463,3648626096,4003655071,7652281167,355028975,11714877928,10978296228,22693174156,-736581700,68118159,82545792,150663951,14427633,221192364,274609058,495801422,53416694,117330943,437614086,554945029,320283143,141226784,39126894,180353678,-102099890,20149278,47163240,67312518,27013962,17513535,17750123,35263658,236588,307874573,202565081,510439654,-105309492,11637769,15810852,27448621,4173083
2023-08-31,2023-08-21,2023-08-25,TSEPrime,1348369210,1458593803,2806963013,110224593,13609534093,13492616690,27102150783,-116917403,14957903303,14951210493,29909113796,-6692810,3256547976,3146132068,6402680044,-110415908,9666950156,9457496069,19124446225,-209454087,68844727,65929988,134774715,-2914739,213960033,214237826,428197859,277793,128770896,313518509,442289405,184747613,27562759,45967167,73529926,18404408,26320451,14052378,40372829,-12268073,22866748,16021272,38888020,-6845476,187541922,207455408,394997330,19913486,10168425,11806005,21974430,1637580
2023-09-07,2023-08-28,2023-09-01,TSEPrime,2354540804,2794967048,5149507852,440426244,16552877216,16134147111,32687024327,-418730105,18907418020,18929114159,37836532179,21696139,4322210255,3406336551,7728546806,-915873704,11033732091,11369039012,22402771103,335306921,106537157,73842185,180379342,-32694972,422608002,428025959,850633961,5417957,199572714,271997164,471569878,72424450,34412334,71844122,106256456,37431788,29783023,44684082,74467105,14901059,18541943,19262527,37804470,720584,345822681,404739324,750562005,58916643,39657016,44376185,84033201,4719169
2023-09-14,2023-09-04,2023-09-08,TSEPrime,2311686689,3093543832,5405230521,781857143,17642097341,16875794761,34517892102,-766302580,19953784030,19969338593,39923122623,15554563,4331774972,4507088287,8838863259,175313315,11946491629,11197456532,23143948161,-749035097,105672732,95732982,201405714,-9939750,426308416,386111781,812420197,-40196635,220884599,333224414,554109013,112339815,34643848,34850264,69494112,206416,28603269,27342484,55945753,-1260785,88163247,27084963,115248210,-61078284,436851073,253134592,689985665,-183716481,22703556,13768462,36472018,-8935094
2023-09-22,2023-09-11,2023-09-15,TSEPrime,2043004951,2789756198,4832761149,746751247,19987115111,19261913668,39249028779,-725201443,22030120062,22051669866,44081789928,21549804,4755794864,4403897968,9159692832,-351896896,13797386864,13530006255,27327393119,-267380609,121010693,96291508,217302201,-24719185,407900194,407939827,815840021,39633,226072027,335875325,561947352,109803298,34219297,38338744,72558041,4119447,27970042,44563828,72533870,16593786,58212649,29350542,87563191,-28862107,534326501,360725909,895052410,-173600592,24221980,14923762,39145742,-9298218
2023-09-28,2023-09-19,2023-09-22,TSEPrime,1652324003,2204812348,3857136351,552488345,16139281151,15598949429,31738230580,-540331722,17791605154,17803761777,35595366931,12156623,3178512364,3817901911,6996414275,639389547,11650085521,10785641384,22435726905,-864444137,86956938,91292300,178249238,4335362,434406777,291583266,725990043,-142823511,142095616,292648068,434743684,150552452,20268182,36255036,56523218,15986854,13152254,14121700,27273954,969446,27067964,22349368,49417332,-4718596,574591059,235352700,809943759,-339238359,12144476,11803696,23948172,-340780
2023-10-05,2023-09-25,2023-09-29,TSEPrime,3568161576,3649958155,7218119731,81796579,18838042456,18770703661,37608746117,-67338795,22406204032,22420661816,44826865848,14457784,3681714149,4244887738,7926601887,563173589,13187199669,13129655326,26316854995,-57544343,81690444,95004818,176695262,13314374,734696554,594918293,1329614847,-139778261,162706732,143414521,306121253,-19292211,43693354,73999341,117692695,30305987,17785245,8919915,26705160,-8865330,23647494,16071593,39719087,-7575901,808974682,440256146,1249230828,-368718536,95934133,23575970,119510103,-72358163
