file,code,name,unit,freq,agg
CO_Q,TK99F1200601GCQ10000,（更新停止）D.I./業況/全規模/_精密機械/予測（2009年12月まで）,%ポイント,QUARTERLY,last
CO_Q,TK99F2010601GCQ00000,（更新停止）D.I./業況/全規模/_建設・不動産/実績（2009年12月まで）,%ポイント,QUARTERLY,last
CO_Q,TK99F2010601GCQ10000,（更新停止）D.I./業況/全規模/_建設・不動産/予測（2009年12月まで）,%ポイント,QUARTERLY,last
CO_Q,TK99F2080601GCQ00000,（更新停止）D.I./業況/全規模/_サービス/実績（2009年12月まで）,%ポイント,QUARTERLY,last
CO_Q,TK99F2080601GCQ10000,（更新停止）D.I./業況/全規模/_サービス/予測（2009年12月まで）,%ポイント,QUARTERLY,last
CO_Q,TK99F0000601GCQ01000,D.I./業況/大企業/全産業/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F0000601GCQ11000,D.I./業況/大企業/全産業/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F1000601GCQ01000,D.I./業況/大企業/製造業/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F1000601GCQ11000,D.I./業況/大企業/製造業/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F1020601GCQ01000,D.I./業況/大企業/_繊維/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F1020601GCQ11000,D.I./業況/大企業/_繊維/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F1030601GCQ01000,D.I./業況/大企業/_木材・木製品/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F1030601GCQ11000,D.I./業況/大企業/_木材・木製品/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F1050601GCQ01000,D.I./業況/大企業/_紙・パルプ/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F1050601GCQ11000,D.I./業況/大企業/_紙・パルプ/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F1060601GCQ01000,D.I./業況/大企業/_化学/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F1060601GCQ11000,D.I./業況/大企業/_化学/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F1070601GCQ01000,D.I./業況/大企業/_石油・石炭製品/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F1070601GCQ11000,D.I./業況/大企業/_石油・石炭製品/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F1100601GCQ01000,D.I./業況/大企業/_窯業・土石製品/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F1100601GCQ11000,D.I./業況/大企業/_窯業・土石製品/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F1110601GCQ01000,D.I./業況/大企業/_鉄鋼/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F1110601GCQ11000,D.I./業況/大企業/_鉄鋼/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F1120601GCQ01000,D.I./業況/大企業/_非鉄金属/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F1120601GCQ11000,D.I./業況/大企業/_非鉄金属/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F1010601GCQ01000,D.I./業況/大企業/_食料品/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F1010601GCQ11000,D.I./業況/大企業/_食料品/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F1130601GCQ01000,D.I./業況/大企業/_金属製品/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F1130601GCQ11000,D.I./業況/大企業/_金属製品/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F1149601GCQ01000,D.I./業況/大企業/_はん用・生産用・業務用機械/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F1149601GCQ11000,D.I./業況/大企業/_はん用・生産用・業務用機械/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F1141601GCQ01000,D.I./業況/大企業/__はん用機械/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F1141601GCQ11000,D.I./業況/大企業/__はん用機械/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F1142601GCQ01000,D.I./業況/大企業/__生産用機械/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F1142601GCQ11000,D.I./業況/大企業/__生産用機械/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F1143601GCQ01000,D.I./業況/大企業/__業務用機械/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F1143601GCQ11000,D.I./業況/大企業/__業務用機械/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F1150601GCQ01000,D.I./業況/大企業/_電気機械/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F1150601GCQ11000,D.I./業況/大企業/_電気機械/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F1160601GCQ01000,D.I./業況/大企業/_輸送用機械/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F1160601GCQ11000,D.I./業況/大企業/_輸送用機械/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F1185601GCQ01000,D.I./業況/大企業/__造船・重機、その他輸送用機械/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F1185601GCQ11000,D.I./業況/大企業/__造船・重機、その他輸送用機械/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F1180601GCQ01000,D.I./業況/大企業/__自動車/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F1180601GCQ11000,D.I./業況/大企業/__自動車/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F1500601GCQ01000,D.I./業況/大企業/_その他製造業/実績,%ポイント,QUARTERLY,last
CO_Q,TK99F1500601GCQ11000,D.I./業況/大企業/_その他製造業/予測,%ポイント,QUARTERLY,last
CO_Q,TK99F3030601GCQ01000,D.I./業況/大企業/__素材業種/実績,%ポイント,QUARTERLY,last
